nombre,equipo,media,posicion,foto
Nikola Jokic,Denver Nuggets,98,C,fotos-nba/05-Denver-Nuggets/nikola-jokic.jpg
Shai Gilgeous-Alexander,Oklahoma City Thunder,98,PG,fotos-nba/02-Oklahoma-City-Thunder/shai-gilgeous-alexander.jpg
Giannis Antetokounmpo,Miami Heat,97,PF,fotos-nba/14-Miami-Heat/giannis-antetokounmpo.jpg
Victor Wembanyama,San Antonio Spurs,97,C,fotos-nba/06-San-Antonio-Spurs/victor-wembanyama.jpg
Anthony Edwards,Minnesota Timberwolves,95,SG,fotos-nba/12-Minnesota-Timberwolves/anthony-edwards.jpg
Luka Doncic,Los Angeles Lakers,95,PG,fotos-nba/16-Los-Angeles-Lakers/luka-doncic.jpg
LeBron James,Philadelphia 76ers,94,SF,fotos-nba/01-Philadelphia-76ers/lebron-james.jpg
Stephen Curry,Golden State Warriors,94,PG,fotos-nba/19-Golden-State-Warriors/stephen-curry.jpg
Anthony Davis,Washington Wizards,93,PF,fotos-nba/22-Washington-Wizards/anthony-davis.jpg
Donovan Mitchell,Cleveland Cavaliers,93,SG,fotos-nba/08-Cleveland-Cavaliers/donovan-mitchell.jpg
Jalen Brunson,New York Knicks,93,PG,fotos-nba/03-New-York-Knicks/jalen-brunson.jpg
Kevin Durant,Houston Rockets,93,SF,fotos-nba/09-Houston-Rockets/kevin-durant.jpg
Cade Cunningham,Detroit Pistons,92,PG,fotos-nba/13-Detroit-Pistons/cade-cunningham.jpg
Joel Embiid,Philadelphia 76ers,92,C,fotos-nba/01-Philadelphia-76ers/joel-embiid.jpg
Karl-Anthony Towns,New York Knicks,92,C,fotos-nba/03-New-York-Knicks/karl-anthony-towns.jpg
Kawhi Leonard,Toronto Raptors,92,SF,fotos-nba/10-Toronto-Raptors/kawhi-leonard.jpg
Devin Booker,Phoenix Suns,91,SG,fotos-nba/20-Phoenix-Suns/devin-booker.jpg
Ja Morant,Portland Trail Blazers,91,PG,fotos-nba/17-Portland-Trail-Blazers/ja-morant.jpg
Jalen Williams,Oklahoma City Thunder,90,SF,fotos-nba/02-Oklahoma-City-Thunder/jalen-williams.jpg
Jaylen Brown,Philadelphia 76ers,90,SF,fotos-nba/01-Philadelphia-76ers/jaylen-brown.jpg
Trae Young,Washington Wizards,90,PG,fotos-nba/22-Washington-Wizards/trae-young.jpg
Damian Lillard,Portland Trail Blazers,89,PG,fotos-nba/17-Portland-Trail-Blazers/damian-lillard.jpg
Evan Mobley,Cleveland Cavaliers,89,PF,fotos-nba/08-Cleveland-Cavaliers/evan-mobley.jpg
James Harden,Cleveland Cavaliers,89,PG,fotos-nba/08-Cleveland-Cavaliers/james-harden.jpg
Jaren Jackson Jr.,Utah Jazz,89,PF,fotos-nba/15-Utah-Jazz/jaren-jackson-jr.jpg
Paolo Banchero,Orlando Magic,89,PF,fotos-nba/18-Orlando-Magic/paolo-banchero.jpg
Pascal Siakam,Indiana Pacers,89,PF,fotos-nba/04-Indiana-Pacers/pascal-siakam.jpg
Tyrese Haliburton,Indiana Pacers,89,PG,fotos-nba/04-Indiana-Pacers/tyrese-haliburton.jpg
Bam Adebayo,Miami Heat,88,C,fotos-nba/14-Miami-Heat/bam-adebayo.jpg
Chet Holmgren,Oklahoma City Thunder,88,C,fotos-nba/02-Oklahoma-City-Thunder/chet-holmgren.jpg
Jayson Tatum,Boston Celtics,88,SF,fotos-nba/11-Boston-Celtics/jayson-tatum.jpg
Alperen Sengun,Houston Rockets,87,C,fotos-nba/09-Houston-Rockets/alperen-sengun.jpg
Amen Thompson,Houston Rockets,87,PG,fotos-nba/09-Houston-Rockets/amen-thompson.jpg
Derrick White,Boston Celtics,87,SG,fotos-nba/11-Boston-Celtics/derrick-white.jpg
Domantas Sabonis,Sacramento Kings,87,C,fotos-nba/28-Sacramento-Kings/domantas-sabonis.jpg
Ivica Zubac,Indiana Pacers,87,C,fotos-nba/04-Indiana-Pacers/ivica-zubac.jpg
Kyrie Irving,Dallas Mavericks,87,PG,fotos-nba/23-Dallas-Mavericks/kyrie-irving.jpg
LaMelo Ball,Minnesota Timberwolves,87,PG,fotos-nba/12-Minnesota-Timberwolves/lamelo-ball.jpg
Tyler Herro,Milwaukee Bucks,87,SG,fotos-nba/30-Milwaukee-Bucks/tyler-herro.jpg
Zion Williamson,New Orleans Pelicans,87,PF,fotos-nba/21-New-Orleans-Pelicans/zion-williamson.jpg
Darius Garland,Los Angeles Clippers,86,PG,fotos-nba/24-Los-Angeles-Clippers/darius-garland.jpg
Franz Wagner,Orlando Magic,86,SF,fotos-nba/18-Orlando-Magic/franz-wagner.jpg
Jamal Murray,Denver Nuggets,86,PG,fotos-nba/05-Denver-Nuggets/jamal-murray.jpg
Julius Randle,Brooklyn Nets,86,PF,fotos-nba/29-Brooklyn-Nets/julius-randle.jpg
Tyrese Maxey,Philadelphia 76ers,86,PG,fotos-nba/01-Philadelphia-76ers/tyrese-maxey.jpg
Austin Reaves,Los Angeles Lakers,85,SG,fotos-nba/16-Los-Angeles-Lakers/austin-reaves.jpg
De'Aaron Fox,San Antonio Spurs,85,PG,fotos-nba/06-San-Antonio-Spurs/deaaron-fox.jpg
Kristaps Porzingis,Golden State Warriors,85,C,fotos-nba/19-Golden-State-Warriors/kristaps-porzingis.jpg
OG Anunoby,New York Knicks,85,SF,fotos-nba/03-New-York-Knicks/og-anunoby.jpg
Scottie Barnes,Toronto Raptors,85,SF,fotos-nba/10-Toronto-Raptors/scottie-barnes.jpg
Zach LaVine,Sacramento Kings,85,SG,fotos-nba/28-Sacramento-Kings/zach-lavine.jpg
Brandon Ingram,Los Angeles Clippers,84,SF,fotos-nba/24-Los-Angeles-Clippers/brandon-ingram.jpg
Jarrett Allen,Cleveland Cavaliers,84,C,fotos-nba/08-Cleveland-Cavaliers/jarrett-allen.jpg
Lauri Markkanen,Utah Jazz,84,PF,fotos-nba/15-Utah-Jazz/lauri-markkanen.jpg
Mikal Bridges,New York Knicks,84,SF,fotos-nba/03-New-York-Knicks/mikal-bridges.jpg
